with,2.1,2.48
er,2.69,2.82
conditional,2.85,3.31
and,3.31,3.49
loops,3.49,3.83
we,3.83,3.93
can,3.93,4.03
have,4.04,4.21
ah,4.21,4.26
much,4.26,4.5
more,4.51,4.72
complicated,4.72,5.42
control,5.44,5.88
flow,5.88,6.29
that,6.49,6.77
enables,6.78,7.23
us,7.23,7.52
ah,7.55,7.74
to,7.78,7.91
do,7.91,8.11
a,8.11,8.16
much,8.16,8.48
much,8.48,8.74
richer,8.74,9.16
set,9.17,9.45
of,9.48,9.62
calculations,9.62,10.46
ah,10.76,10.97
heres,10.969999,11.169999
an,11.17,11.27
example,11.27,11.85
of,11.849999,11.97999
an,11.97999,12.109999
if,12.12,12.27
statement,12.27,12.72
in,12.74,13.02
uh,13.04,13.49
eight,13.599999,13.829999
full,13.83,14.03
program,14.03,14.61
ah,14.9,15.13
to,15.16,15.37
simulate,15.38,15.9
a,15.929999,16.009999
coin,16.01,16.29
flip,16.289999,16.669999
ah,17.16,17.42
all,17.440001,17.660001
we,17.66,17.77
do,17.77,18.11
is,18.12,18.64
generate,18.709999,19.499999
a,19.6,19.81
a,19.81,19.94
random,19.94,20.44
double,20.45,20.73
value,20.73,21.03
using,21.03,21.45
math,21.45,21.73
dot,21.73,21.93
random,21.93,22.44
and,22.8,23.2
if,23.21,23.49
they,23.49,23.63
result,23.63,24.06
its,24.07,24.42
less,24.42,24.68
than,24.68,24.82
a,24.82,24.88
half,24.88,25.3
we,25.32,25.49
print,25.51,25.69
out,25.69,25.81
heads,25.81,26.31
otherwise,26.38,26.85
we,26.849999,26.979999
print,26.98,27.18
out,27.179999,27.349999
tails,27.349999,27.849999
so,28.28,28.47
each,28.469999,28.669999
time,28.67,29
we,29,29.27
run,29.27,29.46
this,29.46,29.75
we,29.75,29.91
might,29.91,30.13
get,30.13,30.27
a,30.27,30.33
different,30.33,30.61
result,30.61,31.07
ah,31.08,31.35
in,31.349999,31.379999
this,31.38,31.56
case,31.559999,31.859999
head,31.86,32.16
heads,32.57,32.84
heads,32.839999,33.189999
tales,33.23,33.65
heads,33.65,34.14
[noise],34.440001,34.850001
odd,34.85,35.05
very,35.049999,35.299999
simple,35.299999,35.639999
use,35.639999,35.879999
of,35.879999,36.039999
an,36.039999,36.209999
er,36.24,36.41
if,36.43,36.63
statement,36.63,37.19
next,37.42,37.68
were,37.68,37.8
gonna,37.8,37.95
look,37.95,38.09
at,38.09,38.2
the,38.2,38.29
while,38.29,38.62
statement,38.63,38.97
on,38.97,39.05
our,39.05,39.13
a,39.13,39.21
while,39.21,39.52
loops,39.53,39.9
that,39.9,40.12
really,40.13,40.53
take,40.58,40.79
us,40.79,40.92
to,40.92,41.26
infinity,41.29,42
in,42,42.12
computations,42.12,42.78
uh,43.24,43.37
its,43.37,43.52
a,43.52,43.59
very,43.59,44
natural,44.01,44.51
way,44.51,44.76
to,44.76,45.07
express,45.09,45.58
a,45.58,45.66
copy,45.66,45.91
temptation,45.91,46.29
that,46.29,46.4
you,46.4,46.5
wanna,46.5,46.73
repeat,46.73,47.08
again,47.11,47.39
and,47.389999,47.499999
again,47.5,47.89
and,48.15,48.32
well,48.32,48.53
lets,48.559999,48.729999
look,48.73,48.98
more,48.98,49.12
closely,49.12,49.7
ah,49.75,49.95
at,49.98,50.2
what,50.2,50.32
happens,50.33,50.85
so,51.37,51.6
this,51.599999,51.799999
is,51.809999,51.949999
that,51.95,52.17
same,52.17,52.46
code,52.459999,52.909999
ah,52.959999,53.199999
<unk>,53.209999,53.369999
wrapped,53.389999,53.799999
in,53.799999,54.099999
ah,54.119999,54.369999
a,54.42,54.51
full,54.51,54.73
java,54.72,55.05
program,55.05,55.26
or,55.189999,55.249999
ah,55.26,55.6
a,55.66,55.84
with,55.84,56
a,56,56.05
maine,56.05,56.3
and,56.3,56.41
so,56.41,56.61
forth,56.61,56.92
[noise],56.92,57.25
it,57.25,57.44
takes,57.44,57.96
as,58.06,58.59
ah,58.67,58.91
from,58.93,59.13
the,59.13,59.21
command,59.21,59.48
line,59.5,59.94
