next,3.49,3.76,
we're,3.76,3.87,
gonna,3.87,4.03,
look,4.03,4.16,
at,4.16,4.28,
the,4.28,4.37,
while,4.37,4.7,
statement,4.7,5.01,
and,5.01,5.04,
the,5.04,5.28,
while,5.28,5.61,
loop,5.61,5.98,
that,5.99,6.19,
really,6.21,6.61,
take,6.66,6.87,
us,6.87,7,
to,7,7.34,
infinity,7.37,8.07,
in,8.07,8.19,
computations,8.19,8.87,
ah,9.77,9.89,
the,9.889999,10.009999,
point,10.01,10.22,
to,10.219999,10.259999,
the,10.26,10.35,
while,10.349999,10.689999,
loop,10.69,10.95,
is,10.95,11.11,
to,11.11,11.38,
execute,11.4,12.04,
certain,12.07,12.43,
statements,12.429999,12.909999,
repeatedly,12.91,13.7,
until,13.759999,14.139999,
certain,14.15,14.4,
conditions,14.4,14.85,
are,14.849999,14.919999,
met,14.92,15.21,
so,15.65,15.84,
like,15.839999,16.079999,
the,16.08,16.2,
if,16.23,16.51,
statemnt,16.51,16.62,
we,16.62,16.779999,
evaluate,16.779999,17.419999,
a,17.42,17.47,
boolean,17.469999,17.799999,
expression,17.799999,18.459999,
if,18.82,19.03,
it's,19.03,19.22,
TRUE,19.23,19.68,
we,19.69,19.9,
execute,19.9,20.46,
sequence,20.52,20.81,
of,20.81,20.97,
ah,20.97,21.05,
statements,21.05,21.67,
uh,22.17,22.31,
and,22.31,22.53,
then,22.53,22.68,
we,22.68,22.8,
just,22.8,23.06,
repeat,23.06,23.43,
that,23.43,23.63,
until,24.15,24.66,
it's,24.67,24.79,
the,24.8,24.92,
case,24.92,25.23,
that,25.23,25.29,
the,25.31,25.42,
boolean,25.43,25.73,
expression,25.73,26.34,
is,26.37,26.56,
not,26.57,26.8,
TRUE,26.8,27.1,
[noise],27.37,27.97,
ah,27.969999,28.319999,
so,28.44,28.71,
here's,28.71,29.11,
a,29.2,29.47,
simple,29.49,29.79,
example,29.79,30.32,
that,30.33,30.51,
we're,30.509999,30.649999,
gonna,30.65,30.84,
look,30.849999,31.089999,
at,31.09,31.32,
in,31.349999,31.729999,
a,31.759999,31.859999,
lot,31.86,32.06,
more,32.059999,32.239999,
details,32.24,32.84,
[noise],32.86,33.17,
ah,33.17,33.38,
that,33.38,33.53,
shows,33.53,34.06,
the,34.09,34.22,
while,34.25,34.58,
statement,34.58,35.11,
ah,35.209999,35.489999,
with,35.52,35.87,
ah,35.92,36.31,
curly,36.37,36.67,
braces,36.67,37.15,
and,37.15,37.34,
three,37.34,37.55,
statements,37.55,37.97,
that,37.97,38.03,
get,38.04,38.2,
executed,38.2,38.83,
ah,39.15,39.49,
as,39.54,39.73,
long,39.73,40.01,
as,40.02,40.32,
the,40.33,40.5,
boolean,40.52,40.8,
expression,40.8,41.31,
is,41.32,41.52,
TRUE,41.52,41.82,
and,41.85,41.99,
we'll,41.99,42.09,
look,42.09,42.22,
at,42.22,42.33,
this,42.33,42.5,
one,42.5,42.66,
in,42.66,42.75,
more,42.75,42.92,
details,42.92,43.38,
in,43.39,43.52,
a,43.52,43.56,
minute,43.56,43.82,
[noise],44.05,44.69,
ah,44.69,44.84,
this,44.84,45.03,
is,45.03,45.18,
what,45.179999,45.459999,
the,45.54,45.83,
control,45.83,46.29,
flow,46.29,46.66,
looks,46.679999,46.969999,
like,46.969999,47.259999,
it's,47.259999,47.449999,
like,47.46,47.75,
a,47.75,47.81,
straight,47.809999,48.129999,
line,48.13,48.36,
program,48.36,48.969999,
ah,49.29,49.62,
except,49.67,50.1,
that,50.099999,50.409999,
uh,50.62,51.04,
there's,51.139999,51.569999,
a,51.63,51.96,
loop,51.96,52.21,
back,52.23,52.73,
ah,52.859999,53.199999,
