uh,2.1,2.17
data,2.17,2.45
type,2.45,2.75
is,2.77,2.9
a,2.9,2.97
set,2.97,3.17
of,3.17,3.26
values,3.27,3.66
and,3.66,3.83
set,3.83,3.99
of,3.99,4.1
operations,4.1,4.69
on,4.69,4.84
those,4.84,5.05
values,5.06,5.6
[noise],5.67,6.03
ah,6.23,6.41
were,6.42,6.6
gonna,6.6,6.78
talk,6.78,7
today,7,7.34
about,7.34,7.6
programs,7.6,8.06
the,8.08,8.19
manipulating,8.19,8.69
things,8.72,9
like,9,9.21
colors,9.21,9.7
in,9.7,9.85
pitchers,9.849999,10.339999
in,10.34,10.47
strings,10.469999,11.009999
[noise],11.11,11.55
into,11.55,11.76
to,11.759999,11.809999
do,11.809999,11.999999
that,12,12.35
what,12.48,12.69
we,12.69,12.8
use,12.799999,13.129999
is,13.13,13.34
whats,13.34,13.52
called,13.52,13.76
an,13.759999,13.889999
abstract,13.9,14.51
data,14.509999,14.759999
type,14.759999,15.079999
its,15.5,15.69
a,15.69,15.74
data,15.74,16.06
type,16.059999,16.399999
thats,16.459999,16.649999
a,16.65,16.71
set,16.709999,16.859999
of,16.859999,16.929999
values,16.940001,17.220001
that,17.219999,17.339999
set,17.34,17.48
of,17.48,17.59
operations,17.59,18.1
on,18.1,18.22
those,18.219999,18.419999
values,18.43,18.74
that,18.74,18.87
are,18.87,18.92
well,18.92,19.13
defined,19.13,19.63
but,19.85,20.03
their,20.03,20.15
representation,20.15,21.02
is,21.02,21.17
hidden,21.17,21.5
from,21.5,21.69
the,21.69,21.77
client,21.77,22.21
in,22.46,22.59
what,22.59,22.71
were,22.71,22.79
gonna,22.79,22.96
do,22.96,23.43
in,23.44,23.61
object,23.61,23.92
oriented,23.93,24.22
programming,24.22,24.8
is,24.81,25.01
create,25.01,25.45
your,25.45,25.62
own,25.62,25.75
day,25.75,25.91
to,25.91,26.03
types,26.03,26.6
and,26.67,26.85
then,26.849999,27.269999
use,27.37,27.74
them,27.74,28.08
in,28.12,28.31
your,28.309999,28.469999
programs,28.469999,29.179999
in,29.48,29.58
the,29.58,29.68
big,29.69,30.05
impact,30.07,30.61
that,30.63,30.93
is,30.94,31.26
that,31.259999,31.479999
clients,31.52,32.13
can,32.16,32.51
use,32.54,33.29
eighty,33.36,33.67
tease,33.67,33.99
abstract,33.99,34.34
data,34.34,34.59
types,34.59,35.04
[noise],35.039999,35.299999
without,35.299999,35.719999
knowing,35.73,36.12
the,36.119999,36.199999
details,36.2,36.66
of,36.66,36.76
the,36.76,36.87
implementation,36.87,37.57
all,37.58,37.7
they,37.7,37.81
need,37.81,38.01
to,38.01,38.11
know,38.11,38.58
is,38.6,38.76
is,38.76,38.78
is,38.79,39
how,39,39.14
to,39.14,39.2
use,39.2,39.46
the,39.46,39.61
operations,39.61,40.46
[noise],40.51,41.4
so,41.4,41.82
to,41.97,42.1
construct,42.1,42.63
a,42.63,42.7
new,42.7,42.94
object,42.94,43.57
we,44.02,44.22
use,44.22,44.54
the,44.54,44.66
key,44.66,44.92
word,44.92,45.21
new,45.22,45.65
[noise],45.69,46.23
ah,46.23,46.64
and,46.78,46.96
then,46.96,47.36
uh,47.53,47.76
we,47.759999,47.889999
use,47.889999,48.119999
the,48.12,48.22
data,48.219999,48.539999
type,48.54,48.8
named,48.83,49.16
to,49.17,49.3
specify,49.299999,50.099999
which,50.15,50.73
object,50.95,51.32
which,51.349999,51.579999
type,51.58,51.81
of,51.809999,51.949999
object,51.95,52.3
it,52.299999,52.409999
is,52.41,52.7
which,52.699999,52.889999
construct,52.889999,53.349999
or,53.35,53.42
that,53.42,53.55
were,53.549999,53.649999
gonna,53.65,53.84
call,53.869999,54.169999
so,54.61,54.75
to,54.619999,54.749999
what,54.75,54.88
we,54.75,54.979999
do,54.98,55.15
is,55.15,55.29
we,55.29,55.4
use,55.4,55.64
the,55.64,55.79
object,55.79,56.21
name,56.21,56.67
it,56.71,56.8
says,56.8,57.09
which,57.1,57.39
object,57.39,57.99
then,58.44,58.85
ah,59.03,59.2
we,59.2,59.33
use,59.33,59.54
the,59.54,59.67
dot,59.68,59.93
operator,59.98,60.68
to,60.77,60.91
indicate,60.91,61.4
that,61.4,61.56
were,61.56,61.69
gonna,61.69,61.85
apply,61.85,62.21
an,62.21,62.3
operation,62.3,62.86
to,62.86,62.98
that,62.98,63.19
object,63.19,63.68
and,64.02,64.19
then,64.19,64.31
we,64.309999,64.399999
use,64.4,64.57
the,64.57,64.66
method,64.66,65
name,65,65.31
which,65.309999,65.469999
is,65.469999,65.619999
just,65.62,65.88
like,65.88,66.21
ah,66.219999,66.649999
a,66.719999,67.119999
regular,67.27,67.79
function,67.79,68.27
call,68.27,68.57
or,68.57,68.6
a,68.599999,68.789999
method,68.79,69.1
static,69.11,69.48
method,69.48,69.74
call,69.74,69.94
in,69.94,70.02
java,70.02,70.279999
uh,70.279999,70.419999
but,70.66,70.82
its,70.82,71.01
associated,71.039999,71.759999
with,71.76,71.99
that,72,72.24
object,72.25,72.77
so,72.87,73.02
what,73.02,73.17
were,73.17,73.41
interested,73.41,73.91
in,73.91,74.18
is,74.19,74.52
an,74.54,74.72
eighty,74.72,75
teeth,75,75.46
that,75.47,75.59
allows,75.59,76.04
us,76.04,76.25
to,76.27,76.4
write,76.4,76.62
java,76.62,76.91
programs,76.91,77.46
that,77.46,77.61
manipulate,77.61,78.16
color,78.2,78.55
[noise],78.74,79.07
so,79.07,79.28
thats,79.28,79.52
what,79.52,79.64
a,79.64,79.69
color,79.69,80.01
is,80.01,80.46
ah,80.59,80.96
a,81.04,81.44
a,82.34,82.46
triple,82.46,82.99
of,83.02,83.26
eight,83.29,83.49
bit,83.49,83.64
values,83.65,84.02
so,84.03,84.2
what,84.2,84.37
were,84.37,84.46
going,84.46,84.48
to,84.48,84.51
do,84.509999,84.719999
is,84.719999,84.889999
write,84.889999,85.089999
a,85.09,85.14
java,85.139999,85.479999
program,85.48,86.11
that,86.15,86.24
will,86.24,86.38
convert,86.38,86.84
an,86.87,87.07
image,87.07,87.45
to,87.49,87.83
ah,87.94,88.07
a,88.07,88.11
grey,88.109999,88.319999
scale,88.32,88.64
[noise],88.65,88.72
first,88.719999,89.059999
of,89.059999,89.169999
all,89.17,89.51
ah,89.6,89.79
its,89.789999,89.989999
gonna,89.99,90.33
i,90.68,90.84
could,90.84,90.87
create,90.87,91.24
a,91.279999,91.349999
new,91.35,91.57
pitcher,91.58,92.12
and,92.41,92.64
were,92.64,92.77
gonna,92.82,92.98
get,92.98,93.14
that,93.14,93.31
pitcher,93.31,93.73
for,93.74,93.76
the,93.76,93.96
first,93.98,94.28
arguments,94.28,94.73
[noise],94.73,94.74
gonna,94.74,94.9
be,94.9,95.09
filing,95.11,95.68
ah,96.05,96.38
in,96.41,96.55
so,96.55,96.7
the,96.7,96.74
construct,96.74,97.28
takes,97.28,97.58
that,97.58,97.78
filing,97.78,98.11
ah,98.11,98.38
ah,98.38,98.55
to,98.55,98.7
jpeg,98.7,99.12
file,99.13,99.46
than,99.69,99.85
itll,99.849999,100.069999
use,100.07,100.35
that,100.349999,100.599999
to,100.61,100.82
create,100.82,101.15
a,101.15,101.2
new,101.2,101.36
pitcher,101.36,101.83
which,102.03,102.27
now,102.27,102.49
we,102.49,102.64
can,102.639999,102.829999
manipulate,102.83,103.5
as,103.559999,103.969999
an,103.98,104.13
array,104.13,104.639999
a,104.719999,104.819999
two,104.82,104.975
d,104.975,105.13
array,105.13,105.33
of,105.33,105.46
colors,105.46,105.92
i,106.299999,106.429999
we,106.43,106.61
when,106.609999,106.759999
i,106.76,106.89
just,106.92,107.33
uh,107.379999,107.709999
go,107.799999,108.029999
to,108.029999,108.249999
our,108.25,108.41
luminance,108.41,108.82
library,108.83,109.52
and,109.53,109.72
get,109.72,109.95
the,109.96,110.29
to,110.35,110.56
gray,110.56,110.94
method,110.96,111.4
that,111.41,111.64
we,111.64,111.75
just,111.75,111.98
did,111.98,112.27
that,112.28,112.55
ah,112.65,112.79
computes,113.11,113.47
the,113.47,113.69
grey,113.69,113.9
scale,113.9,114.21
value,114.21,114.7
for,115.18,115.34
that,115.34,115.67
in,115.68,116.03
another,116.04,116.43
color,116.429999,116.719999
gray,116.72,117.25
and,117.639999,117.829999
then,117.83,118.15
ah,118.32,118.55
in,118.559999,118.739999
our,118.74,118.85
pitcher,118.849999,119.359999
a,119.75,119.87
well,119.87,120.02
call,120.03,120.2
the,120.2,120.27
set,120.27,120.54
method,120.54,120.76
to,120.759999,120.939999
to,120.96,121.11
change,121.11,121.63
the,121.63,121.75
color,121.75,122.31
ah,122.38,122.62
of,122.639999,122.819999
that,122.82,123.04
pixel,123.04,123.529999
at,123.53,123.7
that,123.71,123.91
column,123.91,124.21
in,124.209999,124.319999
row,124.32,124.52
index,124.52,125.14
to,125.219999,125.379999
that,125.379999,125.629999
gray,125.629999,125.869999
value,125.869999,126.259999
ah,126.65,126.83
uh,126.67,126.82
and,126.87,127.04
thats,127.04,127.22
it,127.22,127.42
the,127.87,127.95
extremely,127.95,128.51
simple,128.51,128.8
program,128.8,129.39
[noise],129.42,129.72
to,129.72,129.99
go,130.01,130.22
ahead,130.22,130.51
and,130.52,130.85
compute,130.89,131.36
ah,131.48,131.67
any,131.69,132.13
color,132.19,132.5
image,132.51,132.94
into,132.97,133.43
a,133.45,133.52
black,133.52,133.695
and,133.695,133.87
white,133.87,134.09
image,134.09,134.48
all,134.809999,134.979999
we,134.98,135.08
need,135.08,135.25
to,135.25,135.34
do,135.34,135.55
is,135.55,135.68
make,135.679999,135.859999
sure,135.86,136.11
and,136.11,136.21
that,136.21,136.31
we,136.309999,136.429999
set,136.429999,136.719999
every,136.74,136.99
pixel,136.99,137.5
in,137.52,137.66
the,137.66,137.74
target,137.74,138.15
ah,138.23,138.42
to,138.45,138.59
some,138.59,138.81
color,138.809999,139.169999
ah,139.599999,139.779999
in,139.78,139.91
people,139.91,140.17
uh,140.17,140.25
studied,140.25,140.64
lots,140.639999,140.909999
and,140.91,141.03
lots,141.03,141.4
of,141.42,141.67
different,141.67,141.98
transformations,141.99,142.839999
that,142.84,143.01
we,143.01,143.13
can,143.129999,143.259999
perform,143.26,143.73
on,143.73,143.84
pitchers,143.84,144.47
ah,144.57,144.99
maybe,145.05,145.45
to,145.45,145.77
get,145.78,146.02
an,146.02,146.13
image,146.13,146.4
to,146.4,146.52
fit,146.52,146.78
in,146.79,146.93
a,146.93,146.98
certain,146.98,147.32
space,147.32,147.75
in,147.75,147.88
maybe,147.89,148.11
hes,148.11,148.33
scaling,148.55,149.01
it,149.01,149.12
just,149.12,149.29
buy,149.3,149.41
a,149.41,149.48
little,149.48,149.68
bit,149.68,149.9
ah,150.08,150.31
extra,150.33,150.84
in,151.02,151.19
one,151.19,151.34
dimensional,151.34,151.73
or,151.73,151.74
the,151.74,151.86
other,151.86,152.05
just,152.05,152.2
to,152.21,152.3
make,152.3,152.5
it,152.5,152.59
fit,152.59,152.85
there,152.849999,152.919999
wouldnt,152.92,153.12
be,153.13,153.29
noticeable,153.29,153.86
ah,154.03,154.2
to,154.2,154.26
finish,154.26,154.47
up,154.469999,154.749999
our,154.75,154.87
studying,154.87,155.24
the,155.259999,155.389999
use,155.389999,155.659999
of,155.66,155.81
abstract,155.809999,156.189999
data,156.19,156.4
types,156.46,156.77
were,156.77,156.87
gonna,156.87,157.03
take,157.03,157.38
a,157.42,157.68
look,157.69,157.91
at,157.91,158.07
string,158.07,158.35
processing,158.349999,158.979999
ah,159.009999,159.109999
in,159.11,159.28
a,159.28,159.33
bit,159.33,159.5
more,159.5,159.67
details,159.67,160.12
[noise],160.42,161.02
ah,161.02,161.19
so,161.190001,161.380001
heres,161.379999,161.579999
some,161.58,161.75
typical,161.75,162.15
examples,162.15,162.83
[noise],162.859999,163.049999
ah,163.05,163.19
just,163.22,163.48
a,163.51,163.69
couple,163.69,163.92
of,163.92,164
toy,164,164.25
examples,164.25,164.88
[noise],164.88,165.2
so,165.2,165.35
we,165.35,165.42
use,165.42,165.54
the,165.54,165.68
string,165.68,165.95
ah,165.95,166.01
palindrome,166.01,166.56
does,166.56,166.74
it,166.74,166.87
read,166.88,167.12
the,167.12,167.21
same,167.21,167.54
forward,167.55,168.01
and,168.01,168.14
backwards,168.14,168.77
ah,169.03,169.28
well,169.64,170.06
ah,170.09,170.27
we,170.3,170.43
get,170.429999,170.569999
the,170.57,170.66
length,170.66,170.93
of,170.929999,171.039999
the,171.04,171.12
string,171.12,171.61
ah,171.76,172.05
then,172.3,172.46
we,172.46,172.56
go,172.559999,172.689999
through,172.69,172.95
half,172.95,173.22
of,173.219999,173.309999
the,173.309999,173.379999
characters,173.38,174.09
and,174.42,174.62
then,174.62,174.75
we,174.75,174.85
just,174.849999,175.039999
check,175.04,175.54
that,175.559999,175.899999
<unk>,175.91,176.2
if,176.21,176.57
the,176.58,176.84
character,176.88,177.46
i,177.48,177.81
from,177.82,178.13
the,178.129999,178.209999
beginning,178.209999,178.739999
is,178.91,179.33
uh,179.359999,179.539999
equal,179.57,179.9
to,179.9,180.1
the,180.1,180.22
character,180.23,180.67
i,180.7,180.86
from,180.86,181.05
the,181.05,181.18
end,181.18,181.45
if,181.46,181.62
its,181.62,181.76
not,181.77,182.11
you,182.11,182.22
return,182.22,182.62
FALSE,182.62,183.06
[noise],183.15,183.64
ah,183.64,183.98
if,184.02,184.18
you,184.18,184.29
get,184.29,184.49
all,184.51,184.68
the,184.68,184.76
way,184.76,184.9
through,184.9,185.21
than,185.21,185.39
you,185.39,185.5
return,185.5,185.86
truth,185.88,186.17
all,186.28,186.5
kinds,186.5,186.78
of,186.78,186.92
things,186.92,187.31
like,187.33,187.59
this,187.59,187.96
ah,187.99,188.21
all,188.22,188.45
of,188.45,188.53
those,188.53,188.71
methods,188.74,189.46
provide,189.54,190.19
extremely,190.23,191.04
flexible,191.05,191.58
bases,191.59,192.18
for,192.19,192.61
processing,192.66,193.25
strings,193.259999,193.909999
